Date,Open,High,Low,Close,Volume,Adj Close
"Aug 27, 2010",9982.40,10176.30,9925.11,10150.65,4102460000,10150.65
"Aug 26, 2010",10059.83,10138.12,9959.17,9985.81,3646710000,9985.81
"Aug 25, 2010",10040.15,10104.18,9925.34,10060.06,4360190000,10060.06
"Aug 24, 2010",10170.86,10170.86,9975.86,10040.45,4436330000,10040.45
"Aug 23, 2010",10215.51,10328.88,10146.18,10174.41,3210950000,10174.41
"Aug 20, 2010",10270.98,10276.13,10131.88,10213.62,3761570000,10213.62
"Aug 19, 2010",10411.15,10412.29,10202.34,10271.21,4290540000,10271.21
"Aug 18, 2010",10398.59,10486.38,10308.83,10415.54,3724260000,10415.54
"Aug 17, 2010",10297.55,10501.67,10297.55,10405.85,3968210000,10405.85
"Aug 16, 2010",10303.07,10354.39,10193.26,10302.01,3142450000,10302.01
"Aug 13, 2010",10320.33,10381.86,10254.18,10303.15,3328890000,10303.15
"Aug 12, 2010",10361.58,10388.37,10222.85,10319.95,4521050000,10319.95
"Aug 11, 2010",10631.82,10631.82,10339.63,10378.83,4511860000,10378.83
"Aug 10, 2010",10696.63,10717.21,10522.63,10644.25,3979360000,10644.25
"Aug 9, 2010",10654.62,10755.66,10618.26,10698.75,3191630000,10698.75
"Aug 6, 2010",10668.55,10688.08,10491.37,10653.56,3857890000,10653.56
"Aug 5, 2010",10679.67,10712.37,10571.60,10674.98,3685560000,10674.98
"Aug 4, 2010",10630.20,10738.48,10583.10,10680.43,4057850000,10680.43
"Aug 3, 2010",10673.92,10714.19,10564.18,10636.38,4071820000,10636.38
"Aug 2, 2010",10468.82,10715.21,10468.82,10674.38,4144180000,10674.38
"Jul 30, 2010",10465.19,10528.84,10327.37,10465.94,4006450000,10465.94
"Jul 29, 2010",10498.94,10609.74,10383.45,10467.16,4612420000,10467.16
"Jul 28, 2010",10537.01,10586.36,10445.17,10497.88,4002390000,10497.88
"Jul 27, 2010",10525.28,10632.52,10460.65,10537.69,4725690000,10537.69
"Jul 26, 2010",10424.17,10545.94,10391.02,10525.43,4009650000,10525.43
